year,rank,ISIN,name,country,ci_tco2e_per_musd_revenue,vw_weight,vw_waci_contribution
2015,1,HK0006000050,POWER ASSETS HOLDINGS,HK,32598.88814506505,0.0062027404497656,202.20244211477927
2015,2,HK0002007356,CLP HOLDINGS,HK,3213.992485417491,0.0061973849456558976,19.91834864457754
2015,3,JP3551200003,ELEC.POWER DEV.,JP,8674.102008337657,0.0018226023579680963,15.809438773652014
2015,4,AU0000224040,WOODSIDE ENERGY GROUP,AU,1541.7130450656605,0.006152991868357464,9.486147829629633
2015,5,AU000000BHP4,BHP GROUP,AU,376.92924954224037,0.02048934285690621,7.723032626667321
2015,6,HK0019000162,SWIRE PACIFIC 'A',HK,2243.7011000585717,0.0033642681454877405,7.5484121389228545
2015,7,JP3526600006,CHUBU ELEC.POWER,JP,2277.9756769147098,0.0026699489503039676,6.082078767396399
2015,8,JP3522200009,CHUGOKU ELEC.POWER,JP,3721.0733434700187,0.0014199417666793737,5.283707457270342
2015,9,AU000000ORG5,ORIGIN ENERGY (EX BORAL),AU,1520.4375639207483,0.002634770206633292,4.006003594464489
2015,10,JP3605400005,TOHOKU ELECTRIC PWR.,JP,2199.300831862956,0.001758920645692982,3.8683956392535026
2016,1,HK0006000050,POWER ASSETS HOLDINGS,HK,53359.06002298727,0.005369229444417462,286.49703620186193
2016,2,HK0002007356,CLP HOLDINGS,HK,3691.5513617910487,0.005916613847127785,21.841483904556352
2016,3,JP3551200003,ELEC.POWER DEV.,JP,8280.431850009829,0.0017523066976516725,14.509856190220452
2016,4,JP3381000003,NIPPON STEEL,JP,2080.53576273832,0.00472880577929318,9.838449538863113
2016,5,AU0000224040,WOODSIDE ENERGY GROUP,AU,2121.8560643441697,0.004333793829129323,9.195686717955395
2016,6,JP3526600006,CHUBU ELEC.POWER,JP,2279.5777438413556,0.0029068205181142096,6.626323358434551
2016,7,JP3522200009,CHUGOKU ELEC.POWER,JP,3909.4954190270873,0.0014208125209277534,5.55466004186338
2016,8,HK0019000162,SWIRE PACIFIC 'A',HK,2294.9406907901976,0.002367188926617455,5.432558190482369
2016,9,JP3228600007,KANSAI ELECTRIC PWR.,JP,1516.123685225157,0.0029709739944344046,4.504364041149994
2016,10,JP3605400005,TOHOKU ELECTRIC PWR.,JP,2294.952892343146,0.001828505361589954,4.196333668245814
2017,1,HK0006000050,POWER ASSETS HOLDINGS,HK,64111.19143578344,0.00480707205595207,308.1871168247483
2017,2,BMG2178K1009,CKI HOLDINGS,HK,10884.988866221121,0.005048342018717879,54.95114666662037
2017,3,HK0002007356,CLP HOLDINGS,HK,3735.899409601882,0.00576649066223468,21.543029060517306
2017,4,JP3381000003,NIPPON STEEL,JP,2211.9628018440712,0.00538975970539284,11.921947979207022
2017,5,AU0000224040,WOODSIDE ENERGY GROUP,AU,2347.377139164098,0.0048675583559441415,11.425995208290459
2017,6,JP3551200003,ELEC.POWER DEV.,JP,8305.362171524384,0.0010271432621683555,8.530796794349213
2017,7,JP3526600006,CHUBU ELEC.POWER,JP,2481.9425622499703,0.002346414231691805,5.823665350304953
2017,8,JP3386030005,JFE HOLDINGS,JP,1935.0867752721806,0.002615829202558065,5.061856496240885
2017,9,HK0019000162,SWIRE PACIFIC 'A',HK,2296.011772454923,0.002141039317859023,4.915851479093175
2017,10,AU000000BHP4,BHP GROUP,AU,299.30833264991264,0.015578208244999048,4.662687535483787
2018,1,HK0006000050,POWER ASSETS HOLDINGS,HK,62808.74455393191,0.0034441490193025575,216.32267595904943
2018,2,BMG2178K1009,CKI HOLDINGS,HK,11628.968070819103,0.0042806067218242195,49.779038891827476
2018,3,HK0002007356,CLP HOLDINGS,HK,3248.8319877729405,0.004710855893641838,15.304779317052285
2018,4,AU0000224040,WOODSIDE ENERGY GROUP,AU,2420.666599088588,0.004180780838964712,10.120276534991444
2018,5,JP3381000003,NIPPON STEEL,JP,1736.9336790854666,0.004407786112217554,7.656032148515862
2018,6,JP3551200003,ELEC.POWER DEV.,JP,7040.143525736156,0.0009171328446201309,6.456746858292399
2018,7,JP3386030005,JFE HOLDINGS,JP,1652.131321629222,0.002706126343325124,4.470876092093391
2018,8,JP3526600006,CHUBU ELEC.POWER,JP,2249.5163539838936,0.0017484779637571503,3.933229774052167
2018,9,AU000000ORG5,ORIGIN ENERGY (EX BORAL),AU,1542.8160768197024,0.0024461676318622365,3.7739867490330377
2018,10,AU000000BHP4,BHP GROUP,AU,248.67903060921853,0.014341873303667511,3.566523150276267
2019,1,HK0006000050,POWER ASSETS HOLDINGS,HK,48856.64616207542,0.002835007003535479,138.5089340387386
2019,2,BMG2178K1009,CKI HOLDINGS,HK,9315.28439400259,0.004241942270160824,39.51489862948904
2019,3,HK0002007356,CLP HOLDINGS,HK,3282.525779349896,0.005781849084534027,18.97906867229354
2019,4,AU0000224040,WOODSIDE ENERGY GROUP,AU,1729.7994548000859,0.004570103542040597,7.905362615401766
2019,5,JP3551200003,ELEC.POWER DEV.,JP,6698.631675135595,0.000909108454530736,6.089782689653156
2019,6,JP3381000003,NIPPON STEEL,JP,1476.9929167278851,0.0034164326653653475,5.046046847222387
2019,7,JP3526600006,CHUBU ELEC.POWER,JP,1943.6428621888128,0.0022861099843080866,4.443381353178991
2019,8,HK0019000162,SWIRE PACIFIC 'A',HK,1731.3907033185792,0.0020841838292465927,3.6085365059644676
2019,9,AU000000BHP4,BHP GROUP,AU,222.86707663618972,0.014856456871726278,3.311015112173268
2019,10,AU000000STO6,SANTOS,AU,1584.3700131750015,0.001923823815635627,3.0480487641250003
2020,1,HK0006000050,POWER ASSETS HOLDINGS,HK,37478.094008770466,0.0028012101155264874,104.98401604802048
2020,2,BMG2178K1009,CKI HOLDINGS,HK,9655.811994900696,0.0033606474764571147,32.449780213807365
2020,3,HK0002007356,CLP HOLDINGS,HK,4088.807021090376,0.004767616083088102,19.49386211439403
2020,4,AU0000224040,WOODSIDE ENERGY GROUP,AU,1955.4665419034943,0.00388125550635912,7.589665283263964
2020,5,JP3551200003,ELEC.POWER DEV.,JP,6347.283908784305,0.0007619920786339242,4.836580059334212
2020,6,HK2380027329,CHIN.PWR.INTDVT.,HK,11570.6682561746,0.0003433943292331366,3.973301864608223
2020,7,HK0270001396,GUANGDONG INVESTMENT,HK,1455.209579974441,0.00240909429481886,3.5057370968821755
2020,8,JP3381000003,NIPPON STEEL,JP,1407.331806519695,0.0024144136813365317,3.3978811678412084
2020,9,AU000000BHP4,BHP GROUP,AU,217.79976768932278,0.01377213265479526,2.999567292800944
2020,10,AU000000ORG5,ORIGIN ENERGY (EX BORAL),AU,1733.7677965894336,0.0017027348941233613,2.9521469255602026
2021,1,HK0006000050,POWER ASSETS HOLDINGS,HK,42609.82159750493,0.0018103786517170049,77.1399113735931
2021,2,BMG2178K1009,CKI HOLDINGS,HK,8081.865973918327,0.0022484272216900165,18.17148745780826
2021,3,HK0002007356,CLP HOLDINGS,HK,4644.565133232988,0.003699072618503516,17.18058370919828
2021,4,HK0836012952,CHINA RESOURCES POWER,HK,17055.72578687623,0.0008033973481913348,13.702524868654931
2021,5,AU0000224040,WOODSIDE ENERGY GROUP,AU,2260.913651945793,0.0028769788809228473,6.504600828238195
2021,6,HK2380027329,CHIN.PWR.INTDVT.,HK,12995.92535020833,0.00035622866500282954,4.629521137981143
2021,7,AU000000BHP4,BHP GROUP,AU,200.0919590946263,0.015838687325840324,3.1691939765146184
2021,8,JP3551200003,ELEC.POWER DEV.,JP,6671.917366846498,0.0004561472285893396,3.0433766162641143
2021,9,AU000000STO6,SANTOS,AU,1666.3763526614764,0.0016688013992034283,2.7808511889209773
2021,10,JP3381000003,NIPPON STEEL,JP,1356.2252941620889,0.0017871127678656137,2.423727539299367
2022,1,HK0006000050,POWER ASSETS HOLDINGS,HK,42401.69916995975,0.00203475286932246,86.27697905022336
2022,2,HK0836012952,CHINA RESOURCES POWER,HK,13241.034425628972,0.0018133767484172813,24.010983952428347
2022,3,BMG2178K1009,CKI HOLDINGS,HK,8102.955714048764,0.0024096654192951104,19.525412178223025
2022,4,HK0002007356,CLP HOLDINGS,HK,4097.363173541027,0.003921303131396729,16.067003042876067
2022,5,HK2380027329,CHIN.PWR.INTDVT.,HK,11469.346197379677,0.0008310125450169321,9.531170573164758
2022,6,AU0000224040,WOODSIDE ENERGY GROUP,AU,1441.729267209635,0.00277676745289193,4.0033469050694475
2022,7,AU000000BHP4,BHP GROUP,AU,150.23564708887065,0.025556181941025585,3.839449531030889
2022,8,SG1V61937297,SINGAPORE AIRLINES,SG,2095.858561395011,0.0017152530603812,3.5949278115589314
2022,9,AU000000STO6,SANTOS,AU,1273.487657474776,0.0027685361313594696,3.5256965925592496
