year,implementation_year,portfolio,carbon_footprint,carbon_limit,slack,satisfied_within_1e-6,optimization_success,optimization_message
2023,2024,vw_drift,155.0213829071157,155.0213829071157,0.0,True,True,annual VW allocation with drift
2023,2024,mv,342.5374035014697,,,True,True,Optimization terminated successfully
2023,2024,mv_50,171.26870175073503,171.26870175073486,-1.7053025658242404e-13,True,True,Optimization terminated successfully
2023,2024,vw_50,77.19024107963173,77.51069145355785,0.3204503739261213,True,True,Optimization terminated successfully
2023,2024,vw_nz,70.76222840593665,71.2650054199275,0.5027770139908512,True,True,Optimization terminated successfully
2024,2025,vw_drift,147.75891742561845,147.75891742561845,0.0,True,True,annual VW allocation with drift
2024,2025,mv,448.1154389914433,,,True,True,Optimization terminated successfully
2024,2025,mv_50,224.05771949572195,224.05771949572164,-3.126388037344441e-13,True,True,Optimization terminated successfully
2024,2025,vw_50,73.22349633470351,73.87945871280922,0.6559623781057127,True,True,Optimization terminated successfully
2024,2025,vw_nz,58.940078959017846,64.13850487793476,5.198425918916918,True,True,Optimization terminated successfully
