year,rank,ISIN,name,country,cf_per_weight_tco2e_per_musd_invested,vw_weight,vw_cf_contribution
2022,7,JP3605400005,TOHOKU ELECTRIC PWR.,JP,10197.676116958628,0.0004996696330143478,5.095469082959896
2022,8,SG1R50925390,SEMBCORP INDUSTRIES,SG,8343.24848957834,0.0004695611016967818,3.917664952496416
2022,9,JP3228600007,KANSAI ELECTRIC PWR.,JP,2702.201912037195,0.0013659708052990982,3.6911289218662104
2022,10,JP3449020001,TAIHEIYO CEMENT,JP,9722.279248133884,0.00037818737681889823,3.6768432855525637
2023,1,HK0836012952,CHINA RESOURCES POWER,HK,13772.611402035373,0.0017038708232986815,23.466750728558818
2023,2,JP3381000003,NIPPON STEEL,JP,3165.6263199887358,0.0033718123796169855,10.67389801497938
2023,3,JP3386030005,JFE HOLDINGS,JP,6008.922636960515,0.0013728171903390999,8.249152291437149
2023,4,JP3551200003,ELEC.POWER DEV.,JP,15780.26998425522,0.0005217908689422849,8.234000787228387
2023,5,HK2380027329,CHIN.PWR.INTDVT.,HK,9020.750859929061,0.0009108293085087991,8.216364267979342
2023,6,HK0002007356,CLP HOLDINGS,HK,2030.187623319149,0.0031646054585593576,6.424742834655428
2023,7,JP3605400005,TOHOKU ELECTRIC PWR.,JP,11821.893466357697,0.00044243907440006243,5.230467602911445
2023,8,JP3246400000,KYUSHU ELEC.POWER,JP,8811.211699682366,0.00045262930273068874,3.988212607839716
2023,9,JP3228600007,KANSAI ELECTRIC PWR.,JP,2562.916440561867,0.001513951768543251,3.8801318778172127
2023,10,JP3449020001,TAIHEIYO CEMENT,JP,9643.528286561539,0.0003502808918005007,3.3779436883201304
2024,1,HK0836012952,CHINA RESOURCES POWER,HK,15216.282739165596,0.0015546509899230167,23.656009023392304
2024,2,JP3381000003,NIPPON STEEL,JP,2813.650379548339,0.003676799669056099,10.3452287843629
2024,3,HK2380027329,CHIN.PWR.INTDVT.,HK,10872.569664706922,0.0007412836357290138,8.059657970770932
2024,4,JP3386030005,JFE HOLDINGS,JP,4723.204285560547,0.0016216832892721172,7.659541461711988
2024,5,JP3551200003,ELEC.POWER DEV.,JP,13776.088137171231,0.0005206953053797775,7.173144419523105
2024,6,HK0002007356,CLP HOLDINGS,HK,1831.9038658442714,0.003356861914950003,6.149448319102314
2024,7,JP3605400005,TOHOKU ELECTRIC PWR.,JP,10179.805027786406,0.0005359045045860292,5.455403370198243
2024,8,JP3898400001,MITSUBISHI,JP,286.3101184559599,0.011591326296466269,3.3187140050029407
2024,9,JP3228600007,KANSAI ELECTRIC PWR.,JP,1606.3809154383243,0.0019996251026120006,3.212159602867319
2024,10,JP3449020001,TAIHEIYO CEMENT,JP,7614.556875816261,0.00040336050262104983,3.071411488665818
