year,implementation_year,portfolio,carbon_footprint,carbon_limit,slack,satisfied_within_1e-6,optimization_success,optimization_message
2021,2022,mv,669.1072595714297,,,True,True,Optimization terminated successfully
2021,2022,mv_50,334.5536297857149,334.55362978571486,-5.684341886080802e-14,True,True,Optimization terminated successfully
2021,2022,vw_50,75.60240859790585,75.60240859790585,0.0,True,True,Optimization terminated successfully
2021,2022,vw_nz,88.30536473919648,88.30536473919648,0.0,True,True,Optimization terminated successfully
2022,2023,vw_drift,152.610710167221,152.610710167221,0.0,True,True,benchmark (drift)
2022,2023,mv,513.6483266758646,,,True,True,Optimization terminated successfully
2022,2023,mv_50,256.82416333793236,256.8241633379323,-5.684341886080802e-14,True,True,Optimization terminated successfully
2022,2023,vw_50,76.3053550836105,76.3053550836105,0.0,True,True,Optimization terminated successfully
2022,2023,vw_nz,79.42332585255147,79.47482826527684,0.051502412725369595,True,True,Optimization terminated successfully
2023,2024,vw_drift,155.02705289637964,155.02705289637964,0.0,True,True,benchmark (drift)
2023,2024,mv,427.5769329576699,,,True,True,Optimization terminated successfully
2023,2024,mv_50,213.78846647883503,213.78846647883495,-8.526512829121202e-14,True,True,Optimization terminated successfully
2023,2024,vw_50,77.51352644818984,77.51352644818982,-1.4210854715202004e-14,True,True,Optimization terminated successfully
2023,2024,vw_nz,71.52734543874914,71.52734543874915,1.4210854715202004e-14,True,True,Optimization terminated successfully
2024,2025,vw_drift,147.75891742561845,147.75891742561845,0.0,True,True,benchmark (drift)
2024,2025,mv,424.2186684444345,,,True,True,Optimization terminated successfully
2024,2025,mv_50,212.10933422221737,212.10933422221726,-1.1368683772161603e-13,True,True,Optimization terminated successfully
2024,2025,vw_50,73.87795581051058,73.87945871280922,0.0015029022986396967,True,True,Optimization terminated successfully
2024,2025,vw_nz,60.28060555617015,64.37461089487425,4.0940053387041,True,True,Optimization terminated successfully
