year,rank,ISIN,name,country,cf_per_weight_tco2e_per_musd_invested,vw_weight,vw_cf_contribution
2015,4,JP3228600007,KANSAI ELECTRIC PWR.,JP,5366.339865060795,0.0023800641551702437,12.772233157292321
2015,5,HK0002007356,CLP HOLDINGS,HK,1700.9586210515922,0.006282558384536433,10.68637184643721
2015,6,AU000000BHP4,BHP GROUP,AU,278.46452240912976,0.02077093707879625,5.783969073637083
2015,7,JP3753000003,NIPPON YUSEN KK,JP,4027.969949453419,0.0014101791613480115,5.680159285255215
2015,8,JP3362700001,MITSUI OSK LINES,JP,4479.880682643947,0.0011727793640367295,5.253911617951597
2015,9,JP3845400005,HOKURIKU ELEC.POWER,JP,6197.37916449156,0.0008350039527001987,5.174836098732308
2015,10,HK0019000162,SWIRE PACIFIC 'A',HK,1453.4181133256486,0.0034105047904242933,4.956889437986563
2016,1,JP3585800000,TOKYO ELECTRIC POWER CO. HDG.,JP,10622.877215161927,0.002444416933409492,25.96674094627168
2016,2,JP3381000003,NIPPON STEEL,JP,5201.934418219162,0.004859566862077133,25.27914811747633
2016,3,JP3526600006,CHUBU ELEC.POWER,JP,5355.139298278977,0.0029872000084438036,15.996872157036703
2016,4,JP3386030005,JFE HOLDINGS,JP,7022.39077101229,0.0022124566064250176,15.536734854224214
2016,5,JP3551200003,ELEC.POWER DEV.,JP,8531.653396257367,0.0018007615363252868,15.363473277239267
2016,6,JP3228600007,KANSAI ELECTRIC PWR.,JP,3888.6940407159286,0.003053127458663438,11.87267855405068
2016,7,HK0002007356,CLP HOLDINGS,HK,1786.6018641014716,0.006080220235119596,10.862932806212159
2016,8,JP3246400000,KYUSHU ELEC.POWER,JP,5452.789746375877,0.0014324727517908671,7.810972732928078
2016,9,JP3753000003,NIPPON YUSEN KK,JP,6194.194299932806,0.000968001069200032,5.9959867051677
2016,10,JP3362700001,MITSUI OSK LINES,JP,8094.835619703964,0.0006553122087554552,5.304644609460539
2017,1,JP3585800000,TOKYO ELECTRIC POWER CO. HDG.,JP,14521.123843598596,0.0014594596008446286,21.192993608593827
2017,2,JP3381000003,NIPPON STEEL,JP,3858.150125389879,0.005490207715256415,21.18204558503302
2017,3,JP3526600006,CHUBU ELEC.POWER,JP,5773.405293449903,0.0023901439437331758,13.799269696856344
2017,4,JP3386030005,JFE HOLDINGS,JP,4912.604761296534,0.002664579954335937,13.090028170526026
2017,5,JP3551200003,ELEC.POWER DEV.,JP,12303.947772482741,0.0010462859516701451,12.873447704431866
2017,6,JP3228600007,KANSAI ELECTRIC PWR.,JP,3905.388526326512,0.0024065826391102343,9.398640226437687
2017,7,HK0002007356,CLP HOLDINGS,HK,1549.6070776667361,0.005873959741113801,9.102329588759416
2017,8,JP3246400000,KYUSHU ELEC.POWER,JP,5313.794029614257,0.0012317026306979634,6.545014085263012
2017,9,SG1R50925390,SEMBCORP INDUSTRIES,SG,5502.254189272587,0.000960263046543692,5.2836113706486865
2017,10,JP3753000003,NIPPON YUSEN KK,JP,6167.537787823139,0.0008424028129013976,5.195551181137875
2018,1,JP3381000003,NIPPON STEEL,JP,3561.2727326184013,0.00445542760148088,15.866992829309265
2018,2,JP3585800000,TOKYO ELECTRIC POWER CO. HDG.,JP,12959.542439869934,0.0012006442773988349,15.55980046813717
2018,3,JP3526600006,CHUBU ELEC.POWER,JP,5887.707635646938,0.001767376361278438,10.40579529736096
2018,4,JP3386030005,JFE HOLDINGS,JP,3702.9817434231604,0.002735375468815441,10.129045422431146
2018,5,JP3551200003,ELEC.POWER DEV.,JP,10764.950324799387,0.0009270456610448897,9.979600489969048
2018,6,HK0002007356,CLP HOLDINGS,HK,1481.842824308344,0.004761773108035688,7.056199311127126
2018,7,JP3228600007,KANSAI ELECTRIC PWR.,JP,2752.1966242942117,0.0021997629858721123,6.054180263964583
