year,implementation_year,portfolio,n_assets,waci_tco2e_per_musd_revenue,carbon_footprint_tco2e_per_musd_invested,attributed_emissions_tco2e_starting_wealth,carbon_limit,optimization_success,optimization_message
2018,2019,vw_50,365,169.18026088902067,90.67631760203963,90.67631760203963,90.6763176020396,True,Optimization terminated successfully
2018,2019,vw_nz,365,219.44707454198658,120.20592480712203,120.20592480712203,120.68791244547324,True,Optimization terminated successfully
2019,2020,vw_drift,403,300.37190715462316,194.76483248079626,194.76483248079626,194.76483248079626,True,"benchmark (end-of-year cap weights, drift)"
2019,2020,mv,403,419.2015582697233,519.044347454497,519.044347454497,,True,Optimization terminated successfully
2019,2020,mv_50,403,190.09461771947628,259.52217372724857,259.52217372724857,259.5221737272485,True,Optimization terminated successfully
2019,2020,vw_50,403,413.80524297523164,93.42221068788228,93.42221068788228,97.38241624039813,True,Optimization terminated successfully
2019,2020,vw_nz,403,425.4847932924451,102.85532464818904,102.85532464818904,108.61912120092593,True,Optimization terminated successfully
2020,2021,vw_drift,432,241.89832665584217,154.73613770794228,154.73613770794228,154.73613770794228,True,"benchmark (end-of-year cap weights, drift)"
2020,2021,mv,432,2404.300833150672,1297.2195593711244,1297.2195593711244,,True,Optimization terminated successfully
2020,2021,mv_50,432,3033.452299343314,648.6097796855623,648.6097796855623,648.6097796855622,True,Optimization terminated successfully
2020,2021,vw_50,432,123.40414818561221,63.759196396189054,63.759196396189054,77.36806885397114,True,Optimization terminated successfully
2020,2021,vw_nz,432,252.79713896301766,96.73301160185093,96.73301160185093,97.75720908083333,True,Optimization terminated successfully
2021,2022,vw_drift,462,201.42399234990904,151.9776765000583,151.9776765000583,151.9776765000583,True,"benchmark (end-of-year cap weights, drift)"
2021,2022,mv,462,1131.3087438624964,1134.9548400045123,1134.9548400045123,,True,Optimization terminated successfully
2021,2022,mv_50,462,1953.965627323943,567.477420002256,567.477420002256,567.4774200022562,True,Optimization terminated successfully
2021,2022,vw_50,462,115.53816682597684,75.85439290885145,75.85439290885145,75.98883825002915,True,Optimization terminated successfully
2021,2022,vw_nz,462,139.2134650433596,87.81668197128694,87.81668197128694,87.98148817275,True,Optimization terminated successfully
2022,2023,vw_drift,474,227.96814234569143,153.18283330643,153.18283330643,153.18283330643,True,"benchmark (end-of-year cap weights, drift)"
2022,2023,mv,474,275.30075018620306,543.2123766075981,543.2123766075981,,True,Optimization terminated successfully
2022,2023,mv_50,474,191.92445854936324,271.6061883037991,271.6061883037991,271.60618830379906,True,Optimization terminated successfully
2022,2023,vw_50,474,70.0899643718038,76.591416653215,76.591416653215,76.591416653215,True,Optimization terminated successfully
2022,2023,vw_nz,474,68.49646404294758,79.18333935547503,79.18333935547503,79.18333935547501,True,Optimization terminated successfully
2023,2024,vw_drift,472,205.49933002508607,155.0213829071157,155.0213829071157,155.0213829071157,True,"benchmark (end-of-year cap weights, drift)"
2023,2024,mv,472,148.28052540618455,337.0061043295964,337.0061043295964,,True,Optimization terminated successfully
2023,2024,mv_50,472,55.527693391764544,168.50305216479836,168.50305216479836,168.5030521647982,True,Optimization terminated successfully
2023,2024,vw_50,472,168.85033461750177,77.51069145355785,77.51069145355785,77.51069145355785,True,Optimization terminated successfully
2023,2024,vw_nz,472,160.76163633454073,71.26500541992752,71.26500541992752,71.2650054199275,True,Optimization terminated successfully
2024,2025,vw_drift,469,204.75028905283327,147.75891742561845,147.75891742561845,147.75891742561845,True,"benchmark (end-of-year cap weights, drift)"
2024,2025,mv,469,276.46995328816615,450.9073988087872,450.9073988087872,,True,Optimization terminated successfully
2024,2025,mv_50,469,94.28316922024115,225.45369940439363,225.45369940439363,225.4536994043936,True,Optimization terminated successfully
2024,2025,vw_50,469,78.64832837166588,73.8794587128092,73.8794587128092,73.87945871280922,True,Optimization terminated successfully
2024,2025,vw_nz,469,183.57739015211754,64.13850487793476,64.13850487793476,64.13850487793476,True,Optimization terminated successfully
