NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ILUKA RESOURCES,AU000000ILU1,140616,565079.0,456035.0,458822.0,521746.0,595751.0,634569.0,694385.0,777425.0,809142.0,623792.0,509212.0,892999.0,1649241.0,1112588.0,751711.0,619534.0,621821.0,594546.0,855841.0,980424.0,882475.0,750773.0,1110827.0,1144777.0,841595.0,724986.0
IRESS,AU000000IRE2,,,18030.0,20631.0,28566.0,40713.0,46450.0,52956.0,71816.0,121177.0,103396.0,149826.0,181109.0,219505.0,215774.0,221260.0,257317.0,254949.0,299221.0,341409.0,337204.0,340766.0,411258.0,424517.0,439018.0,407918.0,372205.0
INVOCARE DEAD - DELIST.27/11/23,AU000000IVC8,,,,,,106331.0,114814.0,111735.0,123847.0,201783.0,154112.0,227270.0,269379.0,344630.0,383397.0,345535.0,328576.0,314323.0,353806.0,370004.0,348941.0,335011.0,360165.0,378684.0,420576.0,382580.0,363561.0
JB HI-FI,AU000000JBH7,,,,,,,459850.0,623968.0,848474.0,1452184.0,1326204.0,2315742.0,2880822.0,3274815.0,3296070.0,3023772.0,2743885.0,2681122.0,3419448.0,5321491.0,5086242.0,4852141.0,6718679.0,6294760.0,6855090.0,6199512.0,6257256.0
LENDLEASE GROUP STAPLED UNITS,AU000000LLC3,1899467,2344844.0,6861002.0,5866380.0,6222576.0,6116609.0,6224136.0,8009779.0,10091026.0,13476142.0,9381362.0,11132287.0,9561815.0,11271227.0,12581246.0,11030642.0,10420965.0,10377616.0,12048931.0,13820583.0,11341096.0,9736689.0,8356570.0,6250808.0,7040736.0,6599775.0,5563616.0
MACMAHON HOLDINGS,AU000000MAH3,301793,310207.0,239651.0,196856.0,260305.0,235757.0,354793.0,514520.0,673685.0,949195.0,833170.0,1024326.0,901968.0,1417475.0,1021464.0,1045686.0,665271.0,317171.0,248543.0,366297.0,713028.0,835321.0,1020210.0,1074754.0,1332487.0,1228990.0,1389895.0
MIRVAC GROUP STAPLED UNITS,AU000000MGR9,404460,499405.0,472236.0,544460.0,569319.0,1157832.0,1164128.0,1116862.0,1160440.0,1625268.0,1150991.0,1387551.0,1692657.0,1637972.0,1549698.0,1499897.0,1484286.0,1087376.0,1977650.0,1579391.0,1891320.0,1547345.0,1410446.0,1492358.0,1274579.0,1551508.0,1805806.0
MGX RESOURCES,AU000000MGX7,18926,18830.0,16325.0,112.0,848.0,-1.0,37175.0,72497.0,68681.0,236670.0,293272.0,430576.0,664181.0,696591.0,744514.0,835669.0,277145.0,194847.0,165449.0,133797.0,255507.0,247046.0,345543.0,73206.0,189918.0,484306.0,257383.0
MONADELPHOUS GROUP,AU000000MND5,85620,104741.0,88132.0,71541.0,108092.0,187965.0,237730.0,327596.0,610613.0,833092.0,666703.0,1042583.0,1365799.0,1742120.0,2399593.0,2294443.0,1649607.0,1095345.0,964989.0,1168470.0,1209296.0,989999.0,1177359.0,1358331.0,1216099.0,1194225.0,1261605.0
MACQUARIE GROUP,AU000000MQG1,690873,820901.0,1152619.0,1543721.0,1667580.0,2604328.0,3090776.0,5195447.0,6109667.0,11309419.0,9001281.0,9240954.0,11329179.0,12004140.0,11043716.0,9387574.0,9648405.0,10203447.0,10715501.0,10737316.0,10814488.0,11255913.0,10973588.0,10957969.0,13062660.0,19139608.0,19235082.0
