NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,country_code
SANTOS,AU000000STO6,,,,,,,,4650000.0,4453917.0,3457460.0,3370540.0,3665981.0,3579410.0,3807773.0,3677867.0,3936602.0,4350000.0,5040000.0,5820000.0,5490000.0,5830000.0,5310000.0,6400000.0,5870000.0,5500000.0,4440000.0,,AU
SUNCORP GROUP,AU000000SUN6,,,,,,,,,,,,,7443.0,6832.0,6584.0,6311.0,5926.0,5306.0,7073.0,8646.0,2739.0,2137.0,1826.0,1543.0,1811.0,1701.0,1286.0,AU
TABCORP HOLDINGS,AU000000TAH8,,,,,,,,,,,,,9641.0,,1711.0,1807.0,1969.0,1978.0,2021.0,3892.0,5219.0,4523.0,2668.0,3265.0,3375.0,3509.0,3108.0,AU
TRANSURBAN GROUP STAPLED UNITS,AU000000TCL6,,,,,,,,,117.0,212.0,231.0,143.0,117.55,143.0,147.0,149.0,1944.0,2020.0,2746.0,4189.0,3393.0,4213.0,4598.0,5300.0,5923.0,6072.0,5845.0,AU
TELSTRA GROUP,AU000000TLS2,,,,,,,154381.0,149075.0,123051.0,100440.0,89952.0,81803.0,55137.0,53587.0,53645.0,52537.0,52003.0,50628.0,52680.0,55131.0,47204.0,36905.0,33085.0,31869.0,30738.0,33167.0,,AU
WESTPAC BANKING,AU000000WBC1,,,,,,,,,,6316.0,10963.0,9565.0,21463.0,10277.0,10663.0,10270.0,10830.0,11102.0,9274.0,9824.0,9260.0,7594.0,7851.0,7297.0,6559.0,6262.0,4714.0,AU
WORLEY,AU000000WOR2,,,,,,,,,,,,,34774.0,39209.0,,,,19118.0,11602.0,10614.0,32119.0,36928.0,25555.0,22238.0,22334.0,23963.0,24485.0,AU
WOOLWORTHS GROUP,AU000000WOW2,,,,,,,,748825.0,,622241.0,472983.0,485985.0,398653.0,383871.0,512855.0,498030.0,525635.0,1301505.0,667238.0,663699.0,574831.0,477376.0,425836.0,495276.0,482624.0,463027.0,442289.0,AU
AMPOL,AU0000088338,,,,,,,1800000.0,,,1887665.0,1887670.0,1817630.0,1869330.0,1849424.0,1849610.0,1704466.0,938697.0,733537.0,737663.0,739832.0,673668.0,576611.0,551804.0,727358.0,683969.0,725975.0,,AU
WOODSIDE ENERGY GROUP,AU0000224040,,,,,,,,,,,8979762.0,8304547.0,7890419.0,8402000.0,9184000.0,9822000.0,9974000.0,10084000.0,9883000.0,9767000.0,8840000.0,9170000.0,8901000.0,9565000.0,9165000.0,9872000.0,,AU
