NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
DOWNER EDI,AU000000DOW2,,,,,,,,,,207900.0,283490.0,242210.0,249960.0,203120.0,219760.0,219259.0,220568.0,218900.0,224700.0,334700.0,356300.0,320686.0,306868.0,325582.0,339179.0,296532.0,278407.0
DEXUS STAPLED UNITS,AU000000DXS1,,,,,,,,,6403.0,6226.0,8993.0,8427.0,8675.0,7882.0,9267.0,11050.0,15881.0,17686.0,19695.0,18943.0,17742.0,17299.0,15763.0,12764.0,12051.0,10059.0,
ELDERS,AU000000ELD6,,,,,,,,,,,,,,,,,,,,13794.0,15330.0,14574.0,55419.0,64387.0,59221.0,57210.0,38206.0
ENERGY RES.OF AUS.,AU000000ERA9,,,,,,,,,,140957.0,119032.0,108886.0,102432.0,128725.0,113844.0,,,,,,,,,,,,
FLIGHT CENTRE TRAVEL GP.,AU000000FLT9,,,,,,,,,,,,,,,,,,,,,52500.0,,,,22554.0,20243.0,
GOODMAN GROUP,AU000000GMG2,,,,,,,,,,,,,,,,,,,,,,,3313.0,3105.0,3492.0,3821.0,3683.0
GPT GROUP STAPLED UNITS,AU000000GPT8,,,,,,5854.0,7578.0,6838.0,6614.0,8745.0,13202.0,14710.0,9201.0,9843.0,10077.0,9556.0,13313.0,13621.0,9706.0,9874.0,10133.0,6904.0,7747.0,8806.0,7525.0,6590.0,
GWA GROUP,AU000000GWA4,,,,,,,,,,,,,15175.0,11113.0,10055.0,10012.0,,,,,,,,237.0,351.0,309.0,321.0
HILLS DEAD - DELIST.29/08/23,AU000000HIL8,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,,,,,,,,,,,,,,,
HARVEY NORMAN HOLDINGS,AU000000HVN7,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,,,,,,,,,,,,,,,
INSURANCE AUS.GROUP,AU000000IAG3,,,,,,,,53244.0,7966.0,8072.0,7419.0,7556.0,7765.0,8696.0,9253.0,9181.0,10600.0,13027.0,12368.0,11461.0,8357.0,6751.0,5600.0,4869.0,5617.0,7192.0,6770.0
INSIGNIA FINANCIAL,AU000000IFL2,,,,,,,,,,,,,,,,,,,,,,,1.5,0.0,0.0,,
IGO,AU000000IGO4,,,,,,,,,,,,4729.0,32675.0,38429.0,,,37181.0,49624.0,76482.0,71123.0,73963.0,63536.0,63336.5,62168.3,105437.9,111033.8,65861.0
ILUKA RESOURCES,AU000000ILU1,,,,,,,,,,,,,,,,,,,289000.0,446000.0,322000.0,399000.0,348000.0,421000.0,454000.0,392000.0,
IRESS,AU000000IRE2,,,,,,,,,,,,,,,,,,,,,106.0,159.0,80.0,72.0,53.0,47.0,
INVOCARE DEAD - DELIST.27/11/23,AU000000IVC8,,,,,,,,,,,4542.0,4384.0,5055.0,5460.0,,,,,,,,,,,,,
JB HI-FI,AU000000JBH7,,,,,,,,,,,,,,,,,,,,,,300.0,427.56,525.19,329.46,285.71,456.0
LENDLEASE GROUP STAPLED UNITS,AU000000LLC3,,,,,,,,,,10750.0,17165.0,49183.0,39340.0,115583.0,166789.0,122863.0,86876.0,86745.0,83649.0,141950.0,118182.0,106565.0,39259.0,22646.0,26217.0,31753.0,
MACMAHON HOLDINGS,AU000000MAH3,,,,,,,,,,,83134.0,53354.1,79268.75,,,,,127.0,156.0,569.0,795.0,6119.0,2051.0,15125.0,1091.0,894.0,9301.0
MIRVAC GROUP STAPLED UNITS,AU000000MGR9,,,,,,,6531.0,10670.0,17497.0,14571.0,15676.0,12382.0,13635.0,9987.0,7066.0,11441.0,9867.0,6179.0,4640.0,6829.0,6618.0,7457.0,6342.0,7125.0,9632.0,10711.0,
MGX RESOURCES,AU000000MGX7,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,,,,,,,,,,,,,,,
MONADELPHOUS GROUP,AU000000MND5,,,,,,,,,,,,,,9185.0,,,,,,,,,,,,,
