Date,Return,Cumulative
2021-06-30,0.007548250246195281,0.6051268605655442
2021-07-30,-0.008591209423161071,0.5913368795556846
2021-08-31,0.028077755584655133,0.6360180475126971
2021-09-30,0.008217345257005671,0.649461772655801
2021-10-29,-0.004151253059286219,0.6426144394258879
2021-11-30,-0.01603263532280291,0.6162790011426025
2021-12-31,0.0002469458451611183,0.6166781345265557
2022-01-31,-0.023039268708761388,0.5794310525696194
2022-02-28,0.020537256946569646,0.6118682339256325
2022-03-31,-0.020528915829615912,0.5787783266229416
2022-04-29,-0.030939556625051566,0.5299316251879869
2022-05-31,0.026332068963073364,0.5702178902512236
2022-06-30,-0.05166069295705465,0.489099345947281
2022-07-29,0.03276088931964988,0.5378835648058229
2022-08-31,-0.007892121641546526,0.5257464006418402
2022-09-30,-0.06526789779448935,0.4261641405044385
2022-10-31,-0.016101246822098392,0.4032011196693508
2022-11-30,0.10238182281964166,0.546863408083661
2022-12-30,0.013574076541577149,0.5678606503843533
2023-01-31,0.03773550536835264,0.6270246643737609
2023-02-28,-0.04422503774624681,0.5550694371777569
2023-03-31,0.048428525325033986,0.6303791567983064
2023-04-28,0.033651164091615234,0.6852433133352756
2023-05-31,-0.004124165752408961,0.6782930905779421
2023-06-30,0.017796023456044828,0.7081600337839851
2023-07-31,0.019889133358856732,0.742133856494184
2023-08-31,-0.0017587374993375433,0.7390699003519021
2023-09-29,-0.013134293589636865,0.7162284457077797
2023-10-31,-0.017808673533588452,0.6856646936091118
2023-11-30,0.060924725998154246,0.7883633531920096
2023-12-29,0.06140177850779173,0.8981720436961573
2024-01-31,0.020203314208660533,0.9365214099170462
2024-02-29,-0.002498931852684353,0.9316821748823993
2024-03-29,0.030733796858738376,0.9910501024408811
2024-04-30,-0.014970264416596433,0.9612435559406496
2024-05-31,0.016517668050244037,0.9936387259633577
