ISIN,reason
JP3756600007,no_carbon_data
JP3762800005,no_carbon_data
JP3765400001,no_carbon_data
JP3766550002,stale_prices | no_carbon_data
JP3768600003,stale_prices | no_carbon_data
JP3769000005,stale_prices
JP3771800004,no_carbon_data
JP3774200004,no_carbon_data
JP3780100008,no_carbon_data
JP3783420007,stale_prices | no_carbon_data
JP3783600004,no_carbon_data
JP3789000001,no_carbon_data
JP3791200003,stale_prices | no_carbon_data
JP3792600003,no_carbon_data
JP3796150005,no_carbon_data
JP3799000009,no_carbon_data
JP3802300008,no_carbon_data
JP3802400006,no_carbon_data
JP3819400007,no_carbon_data
JP3826800009,no_carbon_data
JP3834800009,no_carbon_data
JP3837800006,no_carbon_data
JP3841800000,no_carbon_data
JP3842400008,insufficient_history(0mo) | no_carbon_data
JP3845400005,no_carbon_data
JP3850200001,no_carbon_data
JP3862400003,no_carbon_data
JP3863800003,no_carbon_data
JP3869010003,stale_prices | no_carbon_data
JP3870000001,no_carbon_data
JP3877600001,stale_prices
JP3885400006,no_carbon_data
JP3885780001,stale_prices
JP3891600003,no_carbon_data
JP3892100003,insufficient_history(8mo) | stale_prices
JP3893200000,no_carbon_data
JP3894900004,no_carbon_data
JP3896800004,no_carbon_data
JP3899600005,no_carbon_data
JP3899800001,insufficient_history(2mo) | no_carbon_data
JP3901200000,no_carbon_data
JP3902000003,no_carbon_data
JP3906000009,no_carbon_data
JP3919800007,no_carbon_data
JP3931600005,no_carbon_data
JP3933800009,no_carbon_data
JP3935600001,no_carbon_data
JP3940400009,no_carbon_data
JP3942600002,no_carbon_data
JP3944130008,stale_prices | no_carbon_data
JP3951200009,stale_prices | no_carbon_data
JP3951600000,no_carbon_data
JP3955000009,no_carbon_data
JP3967200001,stale_prices | no_carbon_data
JP3992400006,no_carbon_data
KYG0535Q1331,no_carbon_data
KYG2108Y1052,no_carbon_data
KYG210961051,no_carbon_data
KYG217651051,no_carbon_data
KYG525621408,no_carbon_data
KYG5427W1309,no_carbon_data
KYG548561284,no_carbon_data
KYG9431R1039,no_carbon_data
MU0117U00026,no_carbon_data
NZAIRE0001S2,no_carbon_data
NZSKCE0001S2,no_carbon_data
NZTELE0001S4,no_carbon_data
SG0531000230,no_carbon_data
SG1B51001017,no_carbon_data
SG1J26887955,no_carbon_data
