ISIN,eligible_history_36m,eligible_not_stale_120m,eligible_carbon_scope1_or_scope2,included_final,cutoff_date
JP3519400000,True,True,False,False,2013-12-31
JP3522200009,True,True,False,False,2013-12-31
JP3526600006,True,True,False,False,2013-12-31
JP3528600004,True,True,True,True,2013-12-31
JP3535800001,True,True,False,False,2013-12-31
JP3538800008,True,True,False,False,2013-12-31
JP3539220008,True,True,True,True,2013-12-31
JP3539250005,True,False,False,False,2013-12-31
JP3544000007,True,True,True,True,2013-12-31
JP3546800008,True,True,False,False,2013-12-31
JP3548610009,True,True,False,False,2013-12-31
JP3549600009,True,True,False,False,2013-12-31
JP3551200003,True,True,True,True,2013-12-31
JP3551500006,True,True,True,True,2013-12-31
JP3551520004,True,True,True,True,2013-12-31
JP3560800009,True,True,False,False,2013-12-31
JP3566800003,True,True,True,True,2013-12-31
JP3571400005,True,True,True,True,2013-12-31
JP3573000001,True,True,False,False,2013-12-31
JP3574200006,True,True,False,False,2013-12-31
JP3579800008,True,True,False,False,2013-12-31
JP3582600007,True,True,True,True,2013-12-31
JP3585800000,True,True,False,False,2013-12-31
JP3588600001,True,True,False,False,2013-12-31
JP3592200004,True,True,True,True,2013-12-31
JP3595200001,True,True,True,True,2013-12-31
JP3596200000,True,True,True,True,2013-12-31
JP3597800006,True,True,False,False,2013-12-31
JP3598600009,True,True,False,False,2013-12-31
JP3599000001,True,True,False,False,2013-12-31
JP3600200004,True,True,False,False,2013-12-31
JP3605400005,True,True,False,False,2013-12-31
JP3613000003,True,True,False,False,2013-12-31
JP3613400005,True,True,True,True,2013-12-31
JP3619800000,True,True,True,True,2013-12-31
JP3621000003,True,True,True,True,2013-12-31
JP3625000009,True,True,False,False,2013-12-31
JP3626800001,True,True,True,True,2013-12-31
JP3629000005,True,True,True,True,2013-12-31
JP3633400001,True,True,False,False,2013-12-31
JP3634200004,True,True,False,False,2013-12-31
JP3634600005,True,True,True,True,2013-12-31
JP3635000007,True,True,False,False,2013-12-31
JP3635400009,True,True,False,False,2013-12-31
JP3637300009,True,True,False,False,2013-12-31
JP3638600001,True,True,True,True,2013-12-31
JP3657400002,True,True,True,True,2013-12-31
JP3658850007,False,True,False,False,2013-12-31
JP3659000008,True,True,False,False,2013-12-31
JP3663900003,True,True,False,False,2013-12-31
JP3665200006,True,True,True,True,2013-12-31
JP3667600005,True,True,False,False,2013-12-31
JP3670800006,True,True,False,False,2013-12-31
JP3672400003,True,True,True,True,2013-12-31
JP3675600005,True,True,False,False,2013-12-31
JP3676800000,True,True,False,False,2013-12-31
JP3678000005,True,True,True,True,2013-12-31
JP3684000007,True,True,True,True,2013-12-31
JP3684400009,True,True,False,False,2013-12-31
JP3686800008,True,True,True,True,2013-12-31
JP3688370000,True,True,True,True,2013-12-31
JP3689500001,True,True,False,False,2013-12-31
JP3695200000,True,True,False,False,2013-12-31
JP3711200000,True,False,False,False,2013-12-31
JP3711600001,True,True,True,True,2013-12-31
JP3718800000,True,True,False,False,2013-12-31
JP3720800006,True,True,False,False,2013-12-31
JP3721400004,True,True,False,False,2013-12-31
JP3726200003,True,True,False,False,2013-12-31
JP3726800000,True,True,True,True,2013-12-31
JP3729000004,False,True,False,False,2013-12-31
JP3732200005,True,True,False,False,2013-12-31
JP3733000008,True,True,True,True,2013-12-31
JP3733400000,True,True,False,False,2013-12-31
JP3734800000,True,True,True,True,2013-12-31
JP3735400008,True,False,True,False,2013-12-31
JP3738600000,True,True,False,False,2013-12-31
JP3742600004,True,True,False,False,2013-12-31
JP3743000006,True,True,True,True,2013-12-31
JP3753000003,True,True,False,False,2013-12-31
JP3756100008,True,True,False,False,2013-12-31
JP3756600007,True,True,False,False,2013-12-31
JP3762600009,True,True,True,True,2013-12-31
JP3762800005,True,True,False,False,2013-12-31
JP3765400001,True,True,False,False,2013-12-31
JP3766550002,True,True,False,False,2013-12-31
JP3768600003,True,False,False,False,2013-12-31
JP3769000005,True,True,True,True,2013-12-31
JP3771800004,True,True,False,False,2013-12-31
JP3774200004,True,True,False,False,2013-12-31
JP3778630008,True,True,True,True,2013-12-31
JP3780100008,True,True,False,False,2013-12-31
JP3783420007,True,True,False,False,2013-12-31
JP3783600004,True,True,False,False,2013-12-31
JP3786200000,True,True,True,True,2013-12-31
JP3787000003,True,True,True,True,2013-12-31
JP3788600009,True,True,True,True,2013-12-31
JP3789000001,True,True,False,False,2013-12-31
JP3791200003,True,True,False,False,2013-12-31
JP3792600003,True,True,False,False,2013-12-31
JP3796150005,True,True,False,False,2013-12-31
JP3799000009,True,True,False,False,2013-12-31
JP3802300008,True,True,False,False,2013-12-31
JP3802400006,True,True,False,False,2013-12-31
JP3811000003,True,True,True,True,2013-12-31
JP3814000000,True,True,True,True,2013-12-31
JP3814800003,True,True,True,True,2013-12-31
JP3818000006,True,True,True,True,2013-12-31
JP3819400007,True,True,False,False,2013-12-31
JP3820000002,True,True,True,True,2013-12-31
JP3826800009,True,True,False,False,2013-12-31
JP3827200001,True,True,True,True,2013-12-31
JP3830000000,True,True,True,True,2013-12-31
JP3830800003,True,True,True,True,2013-12-31
JP3834800009,True,True,False,False,2013-12-31
JP3835620000,True,True,True,True,2013-12-31
JP3837800006,True,True,False,False,2013-12-31
JP3841800000,True,True,False,False,2013-12-31
JP3842400008,False,True,False,False,2013-12-31
JP3845400005,True,True,False,False,2013-12-31
JP3850200001,True,True,False,False,2013-12-31
JP3854600008,True,True,True,True,2013-12-31
JP3862400003,True,True,False,False,2013-12-31
JP3863800003,True,True,False,False,2013-12-31
JP3866800000,True,True,True,True,2013-12-31
JP3868400007,True,True,True,True,2013-12-31
JP3869010003,True,True,False,False,2013-12-31
JP3870000001,True,True,False,False,2013-12-31
JP3870400003,True,True,True,True,2013-12-31
JP3877600001,True,True,True,True,2013-12-31
JP3885400006,True,True,False,False,2013-12-31
JP3885780001,True,False,True,False,2013-12-31
JP3888300005,True,True,True,True,2013-12-31
JP3888400003,True,True,True,True,2013-12-31
JP3890310000,True,True,True,True,2013-12-31
JP3890350006,True,True,True,True,2013-12-31
JP3891600003,True,True,False,False,2013-12-31
JP3892100003,False,True,True,False,2013-12-31
JP3893200000,True,True,False,False,2013-12-31
JP3893600001,True,True,True,True,2013-12-31
JP3894900004,True,True,False,False,2013-12-31
JP3896800004,True,True,False,False,2013-12-31
JP3898400001,True,True,True,True,2013-12-31
JP3899600005,True,True,False,False,2013-12-31
JP3899800001,False,True,False,False,2013-12-31
JP3900000005,True,True,True,True,2013-12-31
JP3901200000,True,True,False,False,2013-12-31
JP3902000003,True,True,False,False,2013-12-31
JP3902400005,True,True,True,True,2013-12-31
JP3902900004,True,True,True,True,2013-12-31
JP3903000002,True,True,True,True,2013-12-31
JP3906000009,True,True,False,False,2013-12-31
JP3910660004,True,True,True,True,2013-12-31
JP3914400001,True,True,True,True,2013-12-31
JP3919800007,True,True,False,False,2013-12-31
JP3931600005,True,True,False,False,2013-12-31
JP3933800009,True,True,False,False,2013-12-31
JP3935600001,True,True,False,False,2013-12-31
JP3939000000,True,True,True,True,2013-12-31
JP3940000007,True,True,True,True,2013-12-31
JP3940400009,True,True,False,False,2013-12-31
JP3942400007,True,True,True,True,2013-12-31
JP3942600002,True,True,False,False,2013-12-31
JP3942800008,True,True,True,True,2013-12-31
JP3944130008,True,True,False,False,2013-12-31
JP3951200009,True,True,False,False,2013-12-31
JP3951600000,True,True,False,False,2013-12-31
JP3955000009,True,True,False,False,2013-12-31
JP3967200001,True,True,False,False,2013-12-31
JP3973400009,True,True,True,True,2013-12-31
JP3977400005,True,True,True,True,2013-12-31
JP3982100004,True,True,True,True,2013-12-31
JP3982800009,True,True,True,True,2013-12-31
JP3992400006,True,True,False,False,2013-12-31
KYG0535Q1331,True,True,False,False,2013-12-31
KYG2108Y1052,True,True,False,False,2013-12-31
KYG210961051,True,True,False,False,2013-12-31
KYG217651051,True,True,False,False,2013-12-31
KYG525621408,True,True,False,False,2013-12-31
KYG5427W1309,True,True,False,False,2013-12-31
KYG548561284,True,True,False,False,2013-12-31
KYG9431R1039,True,True,False,False,2013-12-31
MU0117U00026,True,True,False,False,2013-12-31
NZAIAE0002S6,True,True,True,True,2013-12-31
NZAIRE0001S2,True,True,False,False,2013-12-31
NZCENE0001S6,True,True,True,True,2013-12-31
NZFBUE0001S0,True,True,True,True,2013-12-31
NZSKCE0001S2,True,True,False,False,2013-12-31
NZTELE0001S4,True,True,False,False,2013-12-31
SG0531000230,True,True,False,False,2013-12-31
SG1B51001017,True,True,False,False,2013-12-31
SG1F60858221,True,True,True,True,2013-12-31
SGXE34184239,True,True,True,True,2013-12-31
SG1J26887955,True,True,False,False,2013-12-31
SG1L01001701,True,True,False,False,2013-12-31
SG1M31001969,True,True,False,False,2013-12-31
SG1M51904654,True,True,False,False,2013-12-31
SG1M77906915,True,True,False,False,2013-12-31
SG1N31909426,True,True,False,False,2013-12-31
SG1P66918738,True,True,False,False,2013-12-31
SG1R50925390,True,True,True,True,2013-12-31
SG1R89002252,True,True,True,True,2013-12-31
SG1S04926220,True,True,False,False,2013-12-31
SG1S76928401,True,True,False,False,2013-12-31
SG1S83002349,True,True,False,False,2013-12-31
