ISIN,NAME,Country
JP3274400005,GLORY,JP
JP3276400003,GUNMA BANK,JP
JP3277800003,KEIO,JP
JP3278600006,KEISEI ELEC.RAILWAY,JP
JP3280200001,KEIKYU,JP
JP3283650004,KOSE HOLDINGS,JP
JP3289800009,KOBE STEEL,JP
JP3292200007,JTEKT,JP
JP3293200006,COCA-COLA BOTTLERS JAPAN HOLDINGS,JP
JP3294460005,INPEX,JP
JP3300200007,KONAMI GROUP,JP
JP3300600008,KONICA MINOLTA,JP
JP3304200003,KOMATSU,JP
JP3305530002,COMSYS HOLDINGS,JP
JP3305800009,KOMORI,JP
JP3305990008,YOKOHAMA FINANCIAL GROUP,JP
JP3320800000,SAPPORO HOLDINGS,JP
JP3322930003,SUMCO,JP
JP3326410002,SANKYO,JP
JP3336000009,SANTEN PHARM.,JP
JP3336600006,SUNDRUG,JP
JP3347200002,SHIONOGI,JP
JP3350800003,SHIKOKU ELECTRIC POWER,JP
JP3351100007,SYSMEX,JP
JP3351500008,SHIZUOKA FINANCIAL GROUP,JP
JP3351600006,SHISEIDO,JP
JP3352000008,77 BANK,JP
JP3352400000,CITIZEN WATCH,JP
JP3357200009,SHIMADZU,JP
JP3358000002,SHIMANO,JP
JP3358200008,SHIMAMURA,JP
JP3358800005,SHIMIZU,JP
JP3359600008,SHARP,JP
JP3362700001,MITSUI OSK LINES,JP
JP3368000000,RESONAC HOLDINGS,JP
JP3371200001,SHIN-ETSU CHEMICAL,JP
JP3375800004,SHINKO ELEC.INDS. DEAD - DELIST.06/06/25,JP
JP3381000003,NIPPON STEEL,JP
JP3385820000,GS YUASA,JP
JP3385980002,J S R DEAD - DELIST.25/06/24,JP
JP3386030005,JFE HOLDINGS,JP
JP3388200002,AEON,JP
JP3389900006,JAFCO GROUP,JP
JP3396350005,SKY PERFECT JSAT HDG.,JP
JP3397200001,SUZUKI MOTOR,JP
JP3398000004,SUZUKEN,JP
JP3399400005,STANLEY ELECTRIC,JP
JP3400900001,SUMITOMO OSAKA CEMENT,JP
JP3401400001,SUMITOMO CHEMICAL,JP
JP3402600005,SUMITOMO METAL MINING,JP
JP3404200002,SUMITOMO RUBBER INDS.,JP
JP3404600003,SUMITOMO,JP
JP3405400007,SUMITOMO HEAVY INDS.,JP
JP3407200009,OSAKA TITANIUM,JP
JP3407400005,SUMITOMO ELECTRIC IND.,JP
JP3409000001,SUMITOMO REAL.&DEV.,JP
JP3411000007,SURUGA BANK,JP
JP3414750004,SEIKO EPSON,JP
JP3415400005,SEINO HDG.,JP
JP3419050004,SEGA SAMMY HDG.,JP
JP3419400001,SEKISUI CHEMICAL,JP
JP3420600003,SEKISUI HOUSE,JP
JP3421100003,JAPAN PETROLEUM EXP.,JP
JP3421800008,SECOM,JP
JP3425000001,CENTRAL GLASS,JP
JP3429800000,ANA HOLDINGS,JP
JP3435000009,SONY GROUP,JP
JP3436100006,SOFTBANK GROUP,JP
JP3436120004,SBI HDG.,JP
JP3443600006,TAISEI,JP
JP3449020001,TAIHEIYO CEMENT,JP
JP3452000007,TAIYO YUDEN,JP
JP3456000003,TAKASHIMAYA,JP
JP3459600007,TAKARA HDG.,JP
JP3463000004,TAKEDA PHARMACEUTICAL,JP
JP3475350009,DAIICHI SANKYO,JP
JP3481800005,DAIKIN INDUSTRIES,JP
JP3485800001,DAICEL,JP
JP3486800000,DAITO TST.CONSTRUCTION,JP
JP3491000000,DAIDO STEEL,JP
JP3493400000,DIC,JP
JP3493800001,DAI NIPPON PRINTING,JP
JP3494600004,SCREEN HOLDINGS,JP
JP3495000006,SUMITOMO PHARMA,JP
JP3496400007,KDDI,JP
JP3499800005,MITSUBISHI HC CAPITAL,JP
JP3500610005,RESONA HOLDINGS,JP
JP3502200003,DAIWA SECURITIES GROUP,JP
JP3505000004,DAIWA HOUSE INDUSTRY,JP
JP3511800009,CHIBA BANK,JP
JP3519400000,CHUGAI PHARM.,JP
JP3522200009,CHUGOKU ELEC.POWER,JP
JP3526600006,CHUBU ELEC.POWER,JP
JP3528600004,CHIYODA CORPORATION,JP
JP3535800001,TSUMURA,JP
JP3538800008,TDK,JP
JP3539220008,T & D HOLDINGS,JP
JP3539250005,THK,JP
JP3544000007,TEIJIN,JP
JP3546800008,TERUMO,JP
JP3548610009,DENA,JP
JP3549600009,DENKA,JP
JP3551200003,ELEC.POWER DEV.,JP
JP3551500006,DENSO,JP
JP3551520004,DENTSU GROUP,JP
JP3560800009,TOKAI CARBON,JP
JP3566800003,CENTRAL JAPAN RAILWAY,JP
JP3571400005,TOKYO ELECTRON,JP
JP3573000001,TOKYO GAS,JP
JP3574200006,TOKYU,JP
JP3579800008,TOKYO STEEL MNFG.,JP
JP3582600007,TOKYO TATEMONO,JP
JP3585800000,TOKYO ELECTRIC POWER CO. HDG.,JP
JP3588600001,TBS HOLDINGS,JP
JP3592200004,TOSHIBA DEAD - DELIST.20/12/23,JP
JP3595200001,TOSOH,JP
JP3596200000,TOTO,JP
JP3597800006,TOBU RAILWAY,JP
JP3598600009,TOHO,JP
JP3599000001,TOHO ZINC,JP
JP3600200004,TOHO GAS,JP
JP3605400005,TOHOKU ELECTRIC PWR.,JP
JP3613000003,TOYO SUISAN KAISHA,JP
JP3613400005,TOYO SEIKAN GROUP HDG.,JP
JP3619800000,TOYOBO,JP
JP3621000003,TORAY INDS.,JP
JP3625000009,TOKUYAMA,JP
JP3626800001,LIXIL,JP
JP3629000005,TOPPAN HOLDINGS,JP
JP3633400001,TOYOTA MOTOR,JP
JP3634200004,TOYODA GOSEI,JP
JP3634600005,TOYOTA INDS.,JP
JP3635000007,TOYOTA TSUSHO,JP
JP3635400009,TOYOTA BOSHOKU,JP
JP3637300009,TREND MICRO,JP
JP3638600001,DOWA HDG.,JP
JP3657400002,NIKON,JP
JP3658850007,NISHI-NIPPON FINL.HDG.,JP
JP3659000008,WEST JAPAN RAILWAY,JP
JP3663900003,SOJITZ,JP
JP3665200006,NICHIREI,JP
JP3667600005,JGC HOLDINGS,JP
JP3670800006,NISSAN CHEMICAL,JP
JP3672400003,NISSAN MOTOR,JP
JP3675600005,NISSIN FOODS HOLDINGS,JP
JP3676800000,NISSHIN SEIFUN,JP
JP3678000005,NISSHINBO HOLDINGS,JP
JP3684000007,NITTO DENKO,JP
JP3684400009,NITTO BOSEKI,JP
JP3686800008,NIPPON SHEET GLASS,JP
JP3688370000,NIPPON EXPRESS HOLDINGS,JP
JP3689500001,ORACLE JAPAN,JP
JP3695200000,NGK INSULATORS,JP
JP3711200000,AOZORA BANK,JP
JP3711600001,NIPPON SANSO HOLDINGS,JP
JP3718800000,NISSUI,JP
JP3720800006,NSK,JP
JP3721400004,JAPAN STEEL WORKS,JP
JP3726200003,NIPPON SODA,JP
JP3726800000,JAPAN TOBACCO,JP
JP3729000004,SBI SHINSEI BANK,JP
JP3732200005,NIPPON TELEVISION HDG.,JP
JP3733000008,NEC,JP
JP3733400000,NIPPON ELEC.GLASS,JP
JP3734800000,NIDEC,JP
JP3735400008,NTT,JP
JP3738600000,NITERRA,JP
JP3742600004,NHK SPRING,JP
JP3743000006,NH FOODS,JP
JP3753000003,NIPPON YUSEN KK,JP
JP3756100008,NITORI HOLDINGS,JP
JP3756600007,NINTENDO,JP
JP3762600009,NOMURA HDG.,JP
JP3762800005,NOMURA RESEARCH INST.,JP
JP3765400001,HOUSE SHOKUHIN GP.HONSHA K K,JP
